company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
YELLOWSTONE BIOSCIENCES LIMITED,14606478,OXFORD,2023-01-20,Biotech,{Biotech},69,f,42,111,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ADVANCED AI DIAGNOSTICS LTD,16169377,OXFORD,2025-01-07,Deep R&D,"{""Deep R&D"",MedTech}",71,f,39,110,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APHERION THERAPEUTICS LIMITED,16879736,CAMBRIDGE,2025-11-28,Biotech,{Biotech},67,f,42,109,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALEVIN THERAPEUTICS LIMITED,13971892,CAMBRIDGE,2022-03-11,Deep R&D,"{""Deep R&D""}",67,f,42,109,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALETHIO THERAPEUTICS LIMITED,13509030,ABINGDON,2021-07-12,Biotech,{Biotech},67,f,42,109,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RE-AIM THERAPEUTICS LTD,15689618,OXFORD,2024-04-28,Biotech,{Biotech},70,f,39,109,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
AVATA BIOSCIENCES HOLDINGS LTD,14024267,LONDON,2022-04-03,Deep R&D,"{""Deep R&D""}",66,f,42,108,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ICOSPHERE BIOSCIENCES LTD,15659504,OXFORD,2024-04-17,Biotech,{Biotech},69,f,39,108,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ĒVOLVERE BIOSCIENCES LTD,13396961,LONDON,2021-05-13,Biotech,{Biotech},66,f,42,108,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BEYOND BLOOD DIAGNOSTICS LTD,13826151,LONDON,2022-01-04,Biotech,"{Biotech,""Deep R&D""}",65,f,42,107,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ADDRESS ROBOTICS LIMITED,15067167,LONDON,2023-08-12,Deep R&D,"{""Deep R&D""}",65,f,42,107,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (5)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CCI PHOTONICS LIMITED,14933095,WARRINGTON,2023-06-12,Biotech,"{Biotech,MedTech}",65,f,42,107,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MACHNET MEDICAL ROBOTICS (UK) LIMITED,15135533,LONDON,2023-09-12,Biotech,"{Biotech,MedTech}",68,f,39,107,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
TRIMTECH THERAPEUTICS LIMITED,15299951,CAMBRIDGE,2023-11-21,Biotech,{Biotech},67,f,39,106,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
