id,company_number,charge_code,created_on,status,persons_entitled,classification_description,raw_json,ingested_at
85,14606478,146064780001,2024-07-10,outstanding,"[{""name"": ""Hsbc Innovation Banking""}]",A registered charge,"{""etag"": ""cc15f11d605b2984f3f0207fd32bac2300c341a5"", ""links"": {""self"": ""/company/14606478/charges/NehDayx4BqYRzxBl1wgt5lWW4hQ""}, ""status"": ""outstanding"", ""created_on"": ""2024-07-10"", ""charge_code"": ""146064780001"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2024-07-11"", ""transactions"": [{""links"": {""filing"": ""/company/14606478/filing-history/MzQyODQyNjQyMmFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2024-07-11""}], ""charge_number"": 1, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hsbc Innovation Banking""}]}",2026-04-01 16:00:05.080832
86,16598579,165985790001,2025-10-30,outstanding,"[{""name"": ""Hsbc Innovation Banking""}]",A registered charge,"{""etag"": ""e38b21aaaf1f19842fc9acd1c6377bbbf742e82e"", ""links"": {""self"": ""/company/16598579/charges/9q6qi8f_HqCaoPuDcSAQHyNzf1Q""}, ""status"": ""outstanding"", ""created_on"": ""2025-10-30"", ""charge_code"": ""165985790001"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2025-10-31"", ""transactions"": [{""links"": {""filing"": ""/company/16598579/filing-history/MzQ4NzA0MDIxOWFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2025-10-31""}], ""charge_number"": 1, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hsbc Innovation Banking""}]}",2026-04-01 16:00:05.080832
87,13318557,133185570002,2024-04-18,outstanding,"[{""name"": ""Hercules Capital, Inc.""}]",A registered charge,"{""etag"": ""71261d3b2b412541f0ba89fcb4cd252bb64cc209"", ""links"": {""self"": ""/company/13318557/charges/PgAhF6UnraLOljTUwSsxYxMeSrk""}, ""status"": ""outstanding"", ""created_on"": ""2024-04-18"", ""charge_code"": ""133185570002"", ""particulars"": {""type"": ""brief-description"", ""description"": ""None owned by the company."", ""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2024-04-22"", ""transactions"": [{""links"": {""filing"": ""/company/13318557/filing-history/MzQxOTIwOTc5OWFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2024-04-22""}], ""charge_number"": 2, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hercules Capital, Inc.""}]}",2026-04-01 16:00:05.080832
88,13318557,133185570001,2024-04-18,outstanding,"[{""name"": ""Hercules Capital, Inc.""}]",A registered charge,"{""etag"": ""51e1efff8b477078f86e9afe9be73e75995741be"", ""links"": {""self"": ""/company/13318557/charges/kksTPwfdZ5cU10ahdAPR6NHUuu0""}, ""status"": ""outstanding"", ""created_on"": ""2024-04-18"", ""charge_code"": ""133185570001"", ""particulars"": {""type"": ""brief-description"", ""description"": ""None."", ""contains_fixed_charge"": true, ""contains_floating_charge"": true, ""contains_negative_pledge"": true, ""floating_charge_covers_all"": true}, ""delivered_on"": ""2024-04-22"", ""transactions"": [{""links"": {""filing"": ""/company/13318557/filing-history/MzQxOTE5NzgzM2FkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2024-04-22""}], ""charge_number"": 1, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hercules Capital, Inc.""}]}",2026-04-01 16:00:05.080832
89,13509030,135090300005,2023-11-08,outstanding,"[{""name"": ""Hsbc Innovation Banking""}]",A registered charge,"{""etag"": ""a1b4cc88c756e799735a17d65a8e9529974dc2bf"", ""links"": {""self"": ""/company/13509030/charges/qxVXMwh2pwNfL_Jc-q0xBwyF4HI""}, ""status"": ""outstanding"", ""created_on"": ""2023-11-08"", ""charge_code"": ""135090300005"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2023-11-28"", ""transactions"": [{""links"": {""filing"": ""/company/13509030/filing-history/MzQwMTc0NTY3NWFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2023-11-28""}], ""charge_number"": 5, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hsbc Innovation Banking""}]}",2026-04-01 16:00:05.080832
90,13509030,135090300004,2023-11-08,outstanding,"[{""name"": ""Hsbc Innovation Banking""}]",A registered charge,"{""etag"": ""a9b0dc23f28a36d6b44d2322695beeff48dcfd75"", ""links"": {""self"": ""/company/13509030/charges/xMSdrT6UQILHUunZo6n7jq1b0qo""}, ""status"": ""outstanding"", ""created_on"": ""2023-11-08"", ""charge_code"": ""135090300004"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2023-11-28"", ""transactions"": [{""links"": {""filing"": ""/company/13509030/filing-history/MzQwMTc0NTQ3NWFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2023-11-28""}], ""charge_number"": 4, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hsbc Innovation Banking""}]}",2026-04-01 16:00:05.080832
91,13509030,135090300003,2023-03-15,fully-satisfied,"[{""name"": ""Silicon Valley Bank UK Limited""}]",A registered charge,"{""etag"": ""0175328d88907df8e431a01ae9d2bdcadbc3d58a"", ""links"": {""self"": ""/company/13509030/charges/DhiCNIJWdL337dWcnpcS0CP_Wso""}, ""status"": ""fully-satisfied"", ""created_on"": ""2023-03-15"", ""charge_code"": ""135090300003"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2023-03-16"", ""satisfied_on"": ""2023-12-05"", ""transactions"": [{""links"": {""filing"": ""/company/13509030/filing-history/MzM3Mjk3MDgzMmFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2023-03-16""}, {""links"": {""filing"": ""/company/13509030/filing-history/MzQwMjY0ODM0MGFkaXF6a2N4""}, ""filing_type"": ""charge-satisfaction"", ""delivered_on"": ""2023-12-05""}], ""charge_number"": 3, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Silicon Valley Bank UK Limited""}]}",2026-04-01 16:00:05.080832
92,13509030,135090300002,2023-01-05,fully-satisfied,"[{""name"": ""Silicon Valley Bank UK Limited""}]",A registered charge,"{""etag"": ""5ccd7ceb1767f413ef9b68c2995d0397586bd86c"", ""links"": {""self"": ""/company/13509030/charges/CfDf95kbqmDAC-7dzt2bRGLe69Y""}, ""status"": ""fully-satisfied"", ""created_on"": ""2023-01-05"", ""charge_code"": ""135090300002"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2023-01-09"", ""satisfied_on"": ""2023-12-05"", ""transactions"": [{""links"": {""filing"": ""/company/13509030/filing-history/MzM2NTAxMTc3NGFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2023-01-09""}, {""links"": {""filing"": ""/company/13509030/filing-history/MzQwMjY0ODMwNGFkaXF6a2N4""}, ""filing_type"": ""charge-satisfaction"", ""delivered_on"": ""2023-12-05""}], ""charge_number"": 2, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Silicon Valley Bank UK Limited""}]}",2026-04-01 16:00:05.080832
93,13509030,135090300001,2021-12-30,fully-satisfied,"[{""name"": ""Silicon Valley Bank""}]",A registered charge,"{""etag"": ""461152cb4ccf7bc8d8ed39c9b96beb95bb874721"", ""links"": {""self"": ""/company/13509030/charges/RUQvxoc7u_C7B0_ntI3wM9Qw_uw""}, ""status"": ""fully-satisfied"", ""created_on"": ""2021-12-30"", ""charge_code"": ""135090300001"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2022-01-06"", ""satisfied_on"": ""2023-03-10"", ""transactions"": [{""links"": {""filing"": ""/company/13509030/filing-history/MzMyNTg5NjEyMmFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2022-01-06""}, {""links"": {""filing"": ""/company/13509030/filing-history/MzM3MjI1MDI5MmFkaXF6a2N4""}, ""filing_type"": ""charge-satisfaction"", ""delivered_on"": ""2023-03-10""}], ""charge_number"": 1, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Silicon Valley Bank""}]}",2026-04-01 16:00:05.080832
94,15299951,152999510001,2025-12-19,outstanding,"[{""name"": ""Hsbc Innovation Banking""}]",A registered charge,"{""etag"": ""1e06c878854e960d94609f7b2526a50fdf114d2c"", ""links"": {""self"": ""/company/15299951/charges/33-uIXkhvGuerRCIxy9UPckYHJ8""}, ""status"": ""outstanding"", ""created_on"": ""2025-12-19"", ""charge_code"": ""152999510001"", ""particulars"": {""contains_fixed_charge"": true, ""contains_negative_pledge"": true}, ""delivered_on"": ""2025-12-22"", ""transactions"": [{""links"": {""filing"": ""/company/15299951/filing-history/MzQ5NTY5MjQ5OWFkaXF6a2N4""}, ""filing_type"": ""create-charge-with-deed"", ""delivered_on"": ""2025-12-22""}], ""charge_number"": 1, ""classification"": {""type"": ""charge-description"", ""description"": ""A registered charge""}, ""persons_entitled"": [{""name"": ""Hsbc Innovation Banking""}]}",2026-04-01 16:00:05.080832
