company_number,company_name,company_status,company_type,date_of_creation,jurisdiction,registered_postcode,registered_locality,registered_region,sic_codes,created_at,updated_at,last_refreshed_at
15986118,LEJOUBERT INTERNATIONAL LTD,Active,ltd,2024-09-29,United Kingdom,W1J 0DP,LONDON,,"[""64304""]",2026-03-31 13:28:07.458436,2026-03-31 13:28:07.458436,
14105225,LEL BILBO BATTERY LIMITED,Active,ltd,2022-05-12,United Kingdom,W1S 1HE,LONDON,,"[""35110""]",2026-03-31 13:28:07.458436,2026-03-31 13:28:07.458436,
14105349,LEL FRODO BATTERY LIMITED,Active,ltd,2022-05-12,United Kingdom,W1S 1HE,LONDON,,"[""35110""]",2026-03-31 13:28:07.458436,2026-03-31 13:28:07.458436,
15050524,LEMANS INTERNATIONAL LIMITED,Active,ltd,2023-08-03,United Kingdom,W1G 7AJ,LONDON,,"[""46900""]",2026-03-31 13:28:07.525775,2026-03-31 13:28:07.525775,
16324039,LEO & QUAVER LTD,Active,ltd,2025-03-18,United Kingdom,CV32 5UP,LEAMINGTON SPA,,"[""86210""]",2026-03-31 13:28:07.593226,2026-03-31 13:28:07.593226,
16914009,LEO AIR LTD,Active,ltd,2025-12-16,United Kingdom,CB3 9EZ,CAMBRIDGE,,"[""33160""]",2026-03-31 13:28:07.593226,2026-03-31 13:28:07.593226,
14206972,LEON BENNETT INTERNATIONAL LTD,Active,ltd,2022-06-29,United Kingdom,DH1 1TW,DURHAM,,"[""72190""]",2026-03-31 13:28:07.593226,2026-03-31 13:28:07.593226,
15403188,LEPOTICA INTERNATIONAL LTD,Active,ltd,2024-01-10,United Kingdom,HA1 1SB,HARROW,,"[""32500""]",2026-03-31 13:28:07.666146,2026-03-31 13:28:07.666146,
14400483,LERNA BESS LIMITED,Active,ltd,2022-10-04,United Kingdom,BS1 4ND,BRISTOL,,"[""35140""]",2026-03-31 13:28:07.666146,2026-03-31 13:28:07.666146,
SC785297,LESS GREY IMAGING LTD,Active,ltd,2023-10-08,United Kingdom,EH3 7PE,EDINBURGH,,"[""72190""]",2026-03-31 13:28:07.666146,2026-03-31 13:28:07.666146,
15720514,LET'S TALK MEDIA INTERNATIONAL LTD,Active,ltd,2024-05-13,United Kingdom,WC2H 9JQ,LONDON,,"[""62090""]",2026-03-31 13:28:07.728712,2026-03-31 13:28:07.728712,
16525228,LEUZEN MOTORS LTD,Active,ltd,2025-06-16,United Kingdom,W11 1WG,LONDON,,"[""45112""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16587605,LEV DRONE SYSTEMS LTD,Active,ltd,2025-07-15,United Kingdom,EC1V 2NX,LONDON,,"[""71121""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16832738,LEVANT PHARMACEUTICALS MANUFACTURING LTD,Active,ltd,2025-11-05,United Kingdom,S11 9NY,SHEFFIELD,,"[""21100"", ""46460""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16633526,LEVERAGE INTERNATIONAL HOLDINGS LTD,Active,ltd,2025-08-05,United Kingdom,W1J 6BD,LONDON,,"[""70229""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16589291,LEVERAGE INTERNATIONAL UK PLC LTD,Active,ltd,2025-07-16,United Kingdom,W1J 6HE,LONDON,,"[""70229""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
15579964,LEVOCELL LTD,Active,ltd,2024-03-20,United Kingdom,SW11 8BZ,LONDON,,"[""27900"", ""74901""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
15978403,LEWIN BIOSCIENCE LTD,Active,ltd,2024-09-24,United Kingdom,OX4 1XQ,OXFORD,,"[""70229""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
16036262,LEWIS LEE COMPOSITE SOLUTIONS LTD,Active,ltd,2024-10-22,United Kingdom,OX28 1GA,WITNEY,,"[""29100""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
16752587,LEWIS-WHEATLEY CONSULTING LTD.,Active,ltd,2025-09-29,United Kingdom,CB10 2PE,SAFFRON WALDEN,,"[""70229"", ""72110"", ""72190""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
15052988,LEXER INTERNATIONAL LIMITED,Active,ltd,2023-08-06,United Kingdom,SM4 6AG,MORDEN,,"[""32500""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
16570056,LEXICON BIO LTD,Active,ltd,2025-07-07,United Kingdom,W1W 7LT,LONDON,,"[""72110""]",2026-03-31 13:28:07.917982,2026-03-31 13:28:07.917982,
15235222,LEXITAS PHARMA SERVICES UK LIMITED,Active,ltd,2023-10-24,United Kingdom,CB1 2LA,CAMBRIDGE,,"[""72190""]",2026-03-31 13:28:07.917982,2026-03-31 13:28:07.917982,
16754432,LICA-1997AVIATION LTD,Active,ltd,2025-09-30,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""30300"", ""33160""]",2026-03-31 13:28:08.095527,2026-03-31 13:28:08.095527,
16649856,LICUREX İNTERNATIONAL LIMITED,Active,ltd,2025-08-13,United Kingdom,W1W 7LT,LONDON,,"[""62020""]",2026-03-31 13:28:08.095527,2026-03-31 13:28:08.095527,
15715253,LIFE RESEARCH OXFORD LIMITED,Active,ltd,2024-05-10,United Kingdom,OX4 4GB,OXFORD,,"[""72110""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
15233889,LIFE SCIENCE LABS LTD,Active,ltd,2023-10-24,United Kingdom,WC2H 9JQ,LONDON,,"[""72110"", ""74909""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
16984547,LIFEBOX TECHNOLOGIES LTD,Active,ltd,2026-01-23,United Kingdom,W1W 5PF,LONDON,,"[""62012"", ""72190""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
15215361,LIFELINK INNOVATIONS LTD,Active,ltd,2023-10-16,United Kingdom,EC2V 5AE,LONDON,,"[""72110""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
14492682,LIFENITY INTERNATIONAL HEALTH SERVICES LIMITED,Active,ltd,2022-11-18,United Kingdom,TW8 0GD,BRENTFORD,,"[""86900""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
15511548,LIFESCIENCE DIAGNOSTICS LIMITED,Active,ltd,2024-02-21,United Kingdom,BS9 3BY,BRISTOL,,"[""86220""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
16216756,LIFETOUCH SYSTEMS LTD,Active,ltd,2025-01-29,United Kingdom,OX1 4QB,OXFORD,,"[""32500"", ""86900""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
13367944,LIFOS ADVANCED BATTERY TECHNOLOGY LIMITED,Active,ltd,2021-04-29,United Kingdom,TF3 3AS,SHROPSHIRE,,"[""27200""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
16941999,"LIFTING, ACCESS, DRONE & STEAM LIMITED",Active,ltd,2026-01-05,United Kingdom,SS11 7PS,WICKFORD,,"[""43999"", ""71129"", ""81222""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
16543232,LIFTIQO LTD,Active,ltd,2025-06-25,United Kingdom,SG12 9EE,WARE,,"[""62090"", ""70229"", ""72190""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
14614099,LIGHTBEAM BIOTECH LTD,Active,ltd,2023-01-24,United Kingdom,EC1V 2NX,LONDON,,"[""72110"", ""86900""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
14246699,LIGHTBEAM PHOTONICS LTD,Active,ltd,2022-07-19,United Kingdom,L3 5TF,LIVERPOOL,,"[""26701"", ""72190""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
