company_number,core_score,sic_score,keyword_score,cluster_score,recency_score,confidence_band,promotion_reason,promoted_to_enrichment,screened_at,cross_ref_promote,primary_sic_category,sic_categories,keyword_categories,sector_categories
15986118,29,0,12,17,0,low,,t,2026-03-31 15:27:52.774186,f,,{},{},{}
14105225,49,18,14,17,0,medium,,t,2026-03-31 15:20:16.701099,f,CleanTech,{CleanTech},{CleanTech},{CleanTech}
14105349,49,18,14,17,0,medium,,t,2026-03-31 15:20:16.710903,f,CleanTech,{CleanTech},{CleanTech},{CleanTech}
15050524,29,0,12,17,0,low,,t,2026-03-31 15:22:58.754463,f,,{},{},{}
16324039,22,10,12,0,0,low,,t,2026-03-31 15:31:35.424908,f,HealthTech,{HealthTech},{},{HealthTech}
16914009,37,13,4,20,0,low,,t,2026-03-31 15:41:30.402062,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
14206972,37,25,12,0,0,low,,t,2026-03-31 15:20:29.149623,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
15403188,35,23,12,0,0,low,,t,2026-03-31 15:24:22.409804,f,MedTech,{MedTech},{},{MedTech}
14400483,39,13,12,14,0,low,,t,2026-03-31 15:20:55.506111,f,CleanTech,{CleanTech},{},{CleanTech}
SC785297,33,25,8,0,0,low,,t,2026-03-31 15:46:42.440293,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
15720514,31,2,12,17,0,low,,t,2026-03-31 15:25:58.098722,f,AI & Software,"{""AI & Software""}",{},"{""AI & Software""}"
16525228,31,0,14,17,0,low,,t,2026-03-31 15:34:38.311693,f,,{},{},{}
16587605,37,13,13,11,0,low,,t,2026-03-31 15:35:31.643168,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16832738,40,23,6,11,0,medium,,t,2026-03-31 15:39:49.48169,f,Biotech,{Biotech},{},{Biotech}
16633526,29,0,12,17,0,low,,t,2026-03-31 15:36:15.687373,f,,{},{},{}
16589291,29,0,12,17,0,low,,t,2026-03-31 15:35:36.329546,f,,{},{},{}
15579964,20,10,10,0,0,low,,t,2026-03-31 15:25:12.363827,f,Hardware,{Hardware},{},{Hardware}
15978403,36,0,16,20,0,low,,t,2026-03-31 15:27:48.025192,f,,{},{Biotech},{Biotech}
16036262,30,0,10,20,0,low,,t,2026-03-31 15:28:24.210289,f,,{},{},{}
16752587,46,26,0,20,0,medium,,t,2026-03-31 15:38:11.692676,f,Biotech,"{Biotech,""Deep R&D""}",{},"{Biotech,""Deep R&D""}"
15052988,35,23,12,0,0,low,,t,2026-03-31 15:22:58.943011,f,MedTech,{MedTech},{},{MedTech}
16570056,44,25,2,17,0,medium,,t,2026-03-31 15:35:16.562138,f,Biotech,{Biotech},{},{Biotech}
15235222,45,25,0,20,0,medium,,t,2026-03-31 15:23:42.003987,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16742436,42,25,0,17,0,medium,,t,2026-03-31 15:37:59.404995,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16403696,46,25,4,17,0,medium,,t,2026-03-31 15:32:41.999975,f,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
16441301,37,8,12,17,0,low,,t,2026-03-31 15:33:20.364201,f,HealthTech,{HealthTech},{},{HealthTech}
16510784,49,25,24,0,0,medium,,t,2026-03-31 15:34:23.545385,f,Deep R&D,"{""Deep R&D""}",{Biotech},"{Biotech,""Deep R&D""}"
16634726,29,0,12,17,0,low,,t,2026-03-31 15:36:15.86858,f,,{},{},{}
14236527,34,2,12,20,0,low,,t,2026-03-31 15:20:32.78128,f,AI & Software,"{""AI & Software""}",{},"{""AI & Software""}"
13730150,44,25,2,17,0,medium,,t,2026-03-31 15:19:33.844449,f,Biotech,{Biotech},{MedTech},"{Biotech,MedTech}"
15445927,32,10,22,0,0,low,,t,2026-03-31 15:24:34.003777,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
14394709,29,0,12,17,0,low,,t,2026-03-31 15:20:53.986707,f,,{},{},{}
14354393,37,25,12,0,0,low,,t,2026-03-31 15:20:48.331839,f,Hardware,{Hardware},{},{Hardware}
16365550,45,25,0,20,0,medium,,t,2026-03-31 15:32:10.143744,f,Biotech,{Biotech},{},{Biotech}
16133864,34,0,14,20,0,low,,t,2026-03-31 15:29:19.063027,f,,{},{},{}
16450242,31,2,12,17,0,low,,t,2026-03-31 15:33:26.790801,f,Data & Cloud,"{""Data & Cloud""}",{},"{""Data & Cloud""}"
15549685,44,26,1,17,0,medium,,t,2026-03-31 15:25:03.443703,f,Space & Aero,"{""Deep R&D"",""Space & Aero""}",{},"{""Deep R&D"",""Space & Aero""}"
15441689,45,25,3,17,0,medium,,t,2026-03-31 15:24:31.370614,f,Deep R&D,"{""AI & Software"",""Deep R&D""}",{},"{""AI & Software"",""Deep R&D""}"
14636557,46,18,8,20,0,medium,,t,2026-03-31 15:21:32.322762,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
15537114,31,8,12,11,0,low,,t,2026-03-31 15:24:59.777605,f,HealthTech,{HealthTech},{},{HealthTech}
16642011,31,0,14,17,0,low,,t,2026-03-31 15:36:25.232503,f,,{},{},{}
16034190,32,0,12,20,0,low,,t,2026-03-31 15:28:20.94346,f,,{},{},{}
15334952,29,0,12,17,0,low,,t,2026-03-31 15:24:05.653907,f,,{},{},{}
