company_number,funding_activity_score,cap_table_score,team_score,debt_score,activity_score,investment_relevance_score,stage_estimate,stage_confidence,why_selected,risk_flags,enriched_at,alignment_score
15986118,0,10,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:14.459713,29
14105225,0,4,10,0,15,0,unknown,low,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:09.673699,29
14105349,0,4,10,0,15,0,unknown,low,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:09.674316,29
15050524,0,4,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:14.165191,18
16633526,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:14.778044,0
16589291,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:14.750928,0
15579964,0,10,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:16.131027,29
15978403,0,4,4,0,5,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation""]","[""single-director structure""]",2026-04-01 12:50:11.871304,13
16036262,0,4,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:13.498044,18
16752587,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.151604,0
15052988,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:11.953334,23
16570056,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.599898,0
15235222,0,0,4,0,15,0,unknown,low,"[""at least one director"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure"", ""no PSC data""]",2026-04-01 12:50:10.30198,19
16742436,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:11.225935,0
16403696,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.102087,0
16441301,0,0,4,0,0,0,pre-seed,medium,"[""at least one director""]","[""single-director structure"", ""no PSC data"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:11.771779,0
16510784,0,4,4,0,10,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:09.69966,18
16634726,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:14.779786,0
14236527,0,10,10,0,15,0,unknown,low,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:12.087246,35
13730150,0,13,10,0,15,0,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:10.478128,38
16754432,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.152355,0
16649856,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:13.33536,0
15715253,0,4,14,0,15,0,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:10.33734,33
15233889,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:10.301451,23
16984547,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.841864,0
